"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","서울특별시 강남구 개포동","1284","1284","0000","개포자이프레지던스","월세","102.7636","202602","04","96,000","280","13","2023","삼성로 14","202604~202804","갱신","사용","120,000","160","아파트"
"12","서울특별시 강남구 압구정동","434","0434","0000","신현대12차","월세","110.8200","202602","04","4,000","330","4","1982","압구정로 151","202603~203003","갱신","사용","4,000","300","아파트"
"13","서울특별시 강남구 신사동","622-1","0622","0001","압구정케이씨씨(622-1)","전세","107.7500","202602","04","120,000","0","14","2004","언주로167길 9","202603~202803","신규","-","","","아파트"
"14","서울특별시 강남구 압구정동","397","0397","0000","미성2차","월세","74.4000","202602","04","10,000","315","15","1987","압구정로 113","202603~202803","갱신","사용","10,000","300","아파트"
"15","서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","월세","94.4900","202602","04","120,000","280","28","2015","삼성로51길 37","202602~202802","갱신","-","120,000","370","아파트"
"16","서울특별시 강남구 일원동","688","0688","0000","상록스타힐스","월세","18.8770","202602","04","15,415","19","2","2022","영동대로 16","202603~202803","신규","-","","","아파트"
"17","서울특별시 강남구 수서동","738","0738","0000","동익","전세","84.4600","202602","04","91,000","0","3","1993","광평로39길 3","202603~202803","신규","-","","","아파트"
"18","서울특별시 강남구 도곡동","965","0965","0000","중명하니빌","월세","28.5800","202602","03","4,000","95","4","1997","남부순환로365길 5","202603~202803","신규","-","","","아파트"
"19","서울특별시 강남구 대치동","506","0506","0000","선경2차(8동-12동)","월세","84.5500","202602","03","50,000","255","11","1985","삼성로 151","202602~202802","갱신","-","50,000","220","아파트"
"20","서울특별시 강남구 대치동","503","0503","0000","개포우성1","전세","84.8100","202602","03","92,000","0","15","1983","선릉로 120","202602~202802","갱신","사용","92,000","0","아파트"
"21","서울특별시 강남구 세곡동","579","0579","0000","강남엘에이치1단지","월세","59.8600","202602","03","29,000","170","9","2013","헌릉로571길 20","202605~202805","갱신","-","37,000","78","아파트"
"22","서울특별시 강남구 압구정동","455","0455","0000","현대5차(71,72동)","전세","82.2300","202602","03","90,000","0","3","1977","압구정로29길 68","202603~202803","신규","-","","","아파트"
"23","서울특별시 강남구 압구정동","456","0456","0000","현대6차(78~81,83,84,86,87동)","월세","196.7000","202602","03","20,000","730","8","1978","압구정로 201","202603~202803","신규","-","","","아파트"
"24","서울특별시 강남구 압구정동","493","0493","0000","한양2","전세","175.9200","202602","03","175,000","0","4","1978","압구정로 347","202603~202803","갱신","-","163,000","0","아파트"
"25","서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","전세","84.8400","202602","03","85,000","0","1","2012","자곡로 21","202602~202802","갱신","-","70,000","0","아파트"
"26","서울특별시 강남구 수서동","746","0746","0000","까치마을","전세","34.4400","202602","03","40,000","0","9","1993","광평로19길 10","202604~202804","신규","-","","","아파트"
"27","서울특별시 강남구 수서동","795","0795","0000","강남데시앙포레","월세","84.8100","202602","03","50,000","220","1","2014","광평로34길 55","202602~202802","신규","-","","","아파트"
"28","서울특별시 강남구 수서동","746","0746","0000","까치마을","월세","39.6000","202602","03","10,000","70","13","1993","광평로19길 10","202603~202803","갱신","-","20,000","36","아파트"
"29","서울특별시 강남구 논현동","202-7","0202","0007","리스트강남","월세","14.6700","202602","03","5,813","42","13","2022","봉은사로 125","202604~202804","갱신","-","5,542","40","아파트"
"30","서울특별시 강남구 일원동","688","0688","0000","상록스타힐스","월세","46.8550","202602","03","11,143","130","8","2022","영동대로 16","202602~202802","신규","-","","","아파트"
"31","서울특별시 강남구 일원동","731","0731","0000","한솔마을","전세","84.7300","202602","03","80,000","0","5","1994","광평로10길 6","202603~202803","갱신","-","75,000","0","아파트"
"32","서울특별시 강남구 일원동","688","0688","0000","상록스타힐스","월세","18.8770","202602","03","13,213","26","2","2022","영동대로 16","202603~202803","신규","-","","","아파트"
"33","서울특별시 강남구 도곡동","464","0464","0000","한신(개포)","월세","83.8600","202602","03","15,000","150","5","1985","언주로 123","202605~202705","신규","-","","","아파트"
"34","서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","전세","60.7600","202602","03","38,580","0","12","1983","개포로 516","202603~202803","신규","-","","","아파트"
"35","서울특별시 강남구 삼성동","14-1","0014","0001","삼성동중앙하이츠빌리지","전세","84.8700","202602","03","110,100","0","6","2004","학동로68길 30","202602~202802","갱신","사용","110,000","0","아파트"
"36","서울특별시 강남구 개포동","1281","1281","0000","디에이치아너힐즈","전세","84.3558","202602","03","157,000","0","25","2019","삼성로 11","202604~202804","신규","-","","","아파트"
"37","서울특별시 강남구 개포동","1284","1284","0000","개포자이프레지던스","전세","102.5776","202602","03","173,250","0","5","2023","삼성로 14","202603~202803","신규","-","","","아파트"
"38","서울특별시 강남구 개포동","651-1","0651","0001","개포더샵트리에","전세","108.0923","202602","03","131,200","0","12","2021","개포로 311","202602~202802","갱신","사용","125,000","0","아파트"
"39","서울특별시 강남구 개포동","652","0652","0000","개포우성3차","전세","104.4300","202602","02","83,000","0","5","1984","개포로 307","202604~202804","신규","-","","","아파트"
"40","서울특별시 강남구 청담동","44-21","0044","0021","청담3차이-편한세상(301동)","월세","84.9700","202602","02","35,000","300","7","2007","선릉로132길 54","202604~202804","신규","-","","","아파트"
"41","서울특별시 강남구 청담동","122-35","0122","0035","청담신원아침도시마인","월세","27.0875","202602","02","2,000","114","4","2013","도산대로85길 30","202603~202803","갱신","-","2,000","108","아파트"
"42","서울특별시 강남구 개포동","179","0179","0000","우성8","전세","79.6100","202602","02","73,500","0","5","1987","개포로 411","202603~202803","갱신","사용","70,000","0","아파트"
"43","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","월세","39.5300","202602","02","3,000","170","4","1992","개포로109길 9","202603~202803","신규","-","","","아파트"
"44","서울특별시 강남구 개포동","1284","1284","0000","개포자이프레지던스","전세","84.5978","202602","02","150,000","0","9","2023","삼성로 14","202602~202802","신규","-","","","아파트"
"45","서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","월세","84.9400","202602","02","85,000","205","13","2019","선릉로 8","202602~202802","갱신","사용","85,000","180","아파트"
"46","서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","전세","84.9430","202602","02","135,000","0","8","2019","선릉로 8","202604~202804","갱신","-","125,000","0","아파트"
"47","서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","전세","39.5300","202602","02","50,000","0","14","1992","개포로109길 21","202603~202803","갱신","-","30,000","0","아파트"
"48","서울특별시 강남구 삼성동","4-6","0004","0006","삼성동한솔아파트","전세","58.5700","202602","02","59,850","0","10","1998","학동로64길 7","202602~202802","갱신","사용","57,000","0","아파트"
"49","서울특별시 강남구 삼성동","82-1","0082","0001","삼성동헤렌하우스2(82-1)","월세","168.0700","202602","02","200,000","255","5","2010","영동대로128길 45","202602~202802","갱신","사용","200,000","230","아파트"
"50","서울특별시 강남구 역삼동","681-46","0681","0046","성영forU","월세","164.5300","202602","02","50,000","100","5","2004","선릉로107길 24","202604~202804","신규","-","","","아파트"
"51","서울특별시 강남구 세곡동","525","0525","0000","강남데시앙파크","전세","114.6900","202602","02","100,000","0","8","2011","헌릉로590길 63","202604~202804","신규","-","","","아파트"
"52","서울특별시 강남구 일원동","688","0688","0000","상록스타힐스","월세","59.5920","202602","02","24,257","71","8","2022","영동대로 16","202602~202802","신규","-","","","아파트"
"53","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","월세","84.9200","202602","02","63,000","100","12","2014","자곡로 175","202603~202803","신규","-","","","아파트"
"54","서울특별시 강남구 대치동","891-28","0891","0028","대치동우정에쉐르1","월세","59.9600","202602","02","42,000","8","2","2004","삼성로85길 38","202603~202803","갱신","사용","42,000","0","아파트"
"55","서울특별시 강남구 대치동","938-16","0938","0016","삼환SOGOOD","전세","84.9300","202602","02","108,150","0","3","2006","도곡로 413","202602~202802","갱신","사용","103,000","0","아파트"
"56","서울특별시 강남구 일원동","711","0711","0000","수서","월세","39.9800","202602","02","33,500","10","3","1992","양재대로55길 12","202603~202803","갱신","사용","33,500","0","아파트"
"57","서울특별시 강남구 압구정동","426","0426","0000","신현대9차","월세","111.3800","202602","02","45,000","160","11","1982","압구정로 151","202602~202802","갱신","사용","45,000","130","아파트"
"58","서울특별시 강남구 수서동","712","0712","0000","수서한아름","전세","97.6300","202602","02","80,000","0","3","1993","광평로51길 22","202602~202802","신규","-","","","아파트"
"59","서울특별시 강남구 도곡동","895-8","0895","0008","한신엠비씨","월세","117.5700","202602","02","52,500","168","15","1988","논현로 205","202603~202803","갱신","사용","50,000","160","아파트"
"60","서울특별시 강남구 대치동","316","0316","0000","은마","전세","76.7900","202602","02","68,000","0","6","1979","삼성로 212","202602~202712","갱신","-","55,000","60","아파트"
"61","서울특별시 강남구 논현동","22","0022","0000","신동아(22)","전세","35.7300","202602","02","43,000","0","5","1997","강남대로146길 28","202603~202803","갱신","사용","41,000","0","아파트"
"62","서울특별시 강남구 대치동","316","0316","0000","은마","월세","76.7900","202602","02","20,000","220","13","1980","삼성로 212","202604~202804","신규","-","","","아파트"
"63","서울특별시 강남구 대치동","66","0066","0000","쌍용대치아파트1동,2동,3동,5동,6동","월세","128.0300","202602","01","60,000","160","14","1983","영동대로 210","202604~202804","신규","-","","","아파트"
"64","서울특별시 강남구 일원동","688","0688","0000","상록스타힐스","월세","18.8770","202602","01","17,617","13","7","2022","영동대로 16","202603~202803","신규","-","","","아파트"
"65","서울특별시 강남구 대치동","974","0974","0000","대치현대","전세","59.8200","202602","01","73,000","0","11","1999","삼성로64길 5","202603~202803","신규","-","","","아파트"
"66","서울특별시 강남구 일원동","711","0711","0000","수서","월세","51.7600","202601","31","10,000","180","7","1992","양재대로55길 12","202602~202802","신규","-","","","아파트"
"67","서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","전세","84.9400","202601","31","85,000","0","12","2012","자곡로 21","202602~202802","갱신","-","75,000","0","아파트"
"68","서울특별시 강남구 세곡동","579","0579","0000","강남엘에이치1단지","월세","59.8900","202601","31","20,000","167","2","2013","헌릉로571길 20","202602~202802","갱신","사용","20,000","155","아파트"
"69","서울특별시 강남구 압구정동","443","0443","0000","현대3차(61~64동)","전세","82.5000","202601","31","75,000","0","12","1976","압구정로39길 58","202605~202805","신규","-","","","아파트"
"70","서울특별시 강남구 압구정동","448","0448","0000","현대13차(208~211동)","전세","108.4700","202601","31","95,000","0","5","1983","압구정로29길 23","202603~202803","신규","-","","","아파트"
"71","서울특별시 강남구 일원동","615","0615","0000","우성7","월세","84.0600","202601","31","50,000","100","2","1987","개포로110길 15","202602~202802","갱신","-","50,000","65","아파트"
"72","서울특별시 강남구 일원동","615","0615","0000","우성7","전세","68.3900","202601","31","83,000","0","14","1987","개포로110길 15","202602~202802","신규","-","","","아파트"
"73","서울특별시 강남구 일원동","731","0731","0000","한솔마을","전세","84.7300","202601","31","75,000","0","4","1994","광평로10길 6","202603~202803","갱신","-","75,000","0","아파트"
"74","서울특별시 강남구 일원동","734","0734","0000","상록수","월세","74.5400","202601","31","10,000","254","4","1993","광평로10길 15","202602~202802","갱신","사용","10,000","240","아파트"
"75","서울특별시 강남구 일원동","734","0734","0000","상록수","전세","74.5400","202601","31","76,600","0","4","1993","광평로10길 15","202603~202803","갱신","사용","73,000","0","아파트"
"76","서울특별시 강남구 대치동","503","0503","0000","개포우성1","전세","84.8100","202601","31","110,000","0","3","1983","선릉로 120","202603~202803","신규","-","","","아파트"
"77","서울특별시 강남구 대치동","316","0316","0000","은마","월세","76.7900","202601","31","40,000","135","12","1979","삼성로 212","-","-","-","","","아파트"
"78","서울특별시 강남구 대치동","316","0316","0000","은마","월세","84.4300","202601","31","30,000","190","6","1980","삼성로 212","202604~202804","갱신","-","30,000","151","아파트"
"79","서울특별시 강남구 대치동","316","0316","0000","은마","전세","76.7900","202601","31","72,000","0","4","1979","삼성로 212","202603~202803","신규","-","","","아파트"
"80","서울특별시 강남구 대치동","316","0316","0000","은마","월세","84.4300","202601","31","3,000","280","2","1980","삼성로 212","202603~202608","신규","-","","","아파트"
"81","서울특별시 강남구 대치동","316","0316","0000","은마","전세","84.4300","202601","31","79,800","0","12","1979","삼성로 212","202603~202803","갱신","사용","76,000","0","아파트"
"82","서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","월세","35.6100","202601","31","1,000","130","14","2004","테헤란로 428","202604~202704","갱신","-","1,000","120","아파트"
"83","서울특별시 강남구 대치동","974","0974","0000","대치현대","월세","59.8200","202601","31","32,500","160","21","1999","삼성로64길 5","202602~202802","신규","-","","","아파트"
"84","서울특별시 강남구 대치동","974","0974","0000","대치현대","전세","114.5900","202601","31","144,000","0","7","1999","삼성로64길 5","202602~202801","갱신","사용","144,000","0","아파트"
"85","서울특별시 강남구 대치동","986-14","0986","0014","하이캐슬","전세","84.0600","202601","31","104,900","0","3","2008","삼성로64길 40","202602~202802","갱신","-","84,900","0","아파트"
"86","서울특별시 강남구 대치동","988-4","0988","0004","대치효성","전세","59.8400","202601","31","73,000","0","4","1999","삼성로64길 12","202602~202802","신규","-","","","아파트"
"87","서울특별시 강남구 도곡동","957","0957","0000","도곡동STAY77","월세","20.3200","202601","31","1,000","98","6","2020","남부순환로351길 4","202603~202703","신규","-","","","아파트"
"88","서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","월세","120.8233","202601","31","115,000","200","18","2006","선릉로 221","202602~202802","갱신","-","115,000","140","아파트"
"89","서울특별시 강남구 도곡동","467","0467","0000","타워팰리스1","월세","84.1500","202601","31","70,000","254","33","2002","언주로30길 56","202602~202802","갱신","사용","70,000","230","아파트"
"90","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","전세","91.9600","202601","31","88,200","0","2","2014","자곡로 101","202602~202802","갱신","사용","84,000","0","아파트"
"91","서울특별시 강남구 율현동","365","0365","0000","강남한신휴플러스6단지","전세","59.9800","202601","31","70,000","0","2","2015","밤고개로26길 50","202603~202803","신규","-","","","아파트"
"92","서울특별시 강남구 논현동","252-1","0252","0001","두산위브1단지","전세","84.9930","202601","31","85,000","0","3","2004","학동로46길 38","202605~202805","신규","-","","","아파트"
"93","서울특별시 강남구 수서동","708","0708","0000","삼익","전세","84.4800","202601","31","77,000","0","3","1992","광평로51길 27","202604~202804","신규","-","","","아파트"
"94","서울특별시 강남구 수서동","746","0746","0000","까치마을","월세","34.4400","202601","31","5,000","110","5","1993","광평로19길 10","202603~202803","신규","-","","","아파트"
"95","서울특별시 강남구 수서동","746","0746","0000","까치마을","전세","34.4400","202601","31","28,875","0","3","1993","광평로19길 10","202603~202803","갱신","사용","27,500","0","아파트"
"96","서울특별시 강남구 수서동","746","0746","0000","까치마을","전세","39.6000","202601","31","45,000","0","7","1993","광평로19길 10","202603~202803","신규","-","","","아파트"
"97","서울특별시 강남구 수서동","746","0746","0000","까치마을","월세","34.4400","202601","31","5,000","100","2","1993","광평로19길 10","202603~202803","신규","-","","","아파트"
"98","서울특별시 강남구 일원동","716","0716","0000","목련타운","월세","134.7100","202601","31","110,000","85","10","1993","광평로19길 15","202602~202802","갱신","사용","110,000","70","아파트"
"99","서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","전세","39.5300","202601","31","35,000","0","1","1992","개포로109길 21","202604~202804","신규","-","","","아파트"
"100","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","월세","39.5300","202601","31","5,000","142","6","1992","개포로109길 9","202604~202804","갱신","사용","5,000","135","아파트"
"101","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","월세","59.9200","202601","31","5,000","294","7","2020","개포로 264","202602~202802","갱신","-","10,000","260","아파트"
"102","서울특별시 강남구 개포동","179","0179","0000","우성8","월세","79.6100","202601","31","15,000","175","3","1987","개포로 411","202602~202802","갱신","사용","29,000","130","아파트"
"103","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","월세","39.5300","202601","31","20,000","150","9","1992","개포로109길 9","202602~202802","신규","-","","","아파트"
"104","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","전세","59.9200","202601","31","95,550","0","7","2020","개포로 264","202603~202803","갱신","사용","91,000","0","아파트"
"105","서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","전세","73.2600","202601","31","51,000","0","6","1983","개포로 516","202603~202803","신규","-","","","아파트"
"106","서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","월세","51.1200","202601","31","10,000","200","11","1992","개포로109길 21","202603~202803","신규","-","","","아파트"
"107","서울특별시 강남구 청담동","127-31","0127","0031","청담현대3차아파트","전세","109.5300","202601","31","115,500","0","9","1999","도산대로101길 29","202602~202802","갱신","사용","110,000","0","아파트"
"108","서울특별시 강남구 역삼동","795-41","0795","0041","역삼동월드메르디앙","월세","83.2700","202601","31","63,000","30","1","2005","도곡로21길 15","202602~202802","갱신","-","60,000","15","아파트"
"109","서울특별시 강남구 역삼동","754-1","0754","0001","역삼푸르지오","월세","84.9097","202601","31","38,000","130","3","2006","언주로 332","202602~202802","갱신","사용","38,000","130","아파트"
"110","서울특별시 강남구 역삼동","754-1","0754","0001","역삼푸르지오","월세","59.8848","202601","31","60,000","165","7","2006","언주로 332","202603~202803","갱신","사용","60,000","165","아파트"
"111","서울특별시 강남구 역삼동","711-3","0711","0003","역삼자이","전세","84.9930","202601","31","140,700","0","9","2016","언주로 420","202602~202802","갱신","사용","134,000","0","아파트"
"112","서울특별시 강남구 역삼동","713-11","0713","0011","역삼I'PARK","월세","28.2460","202601","31","3,500","153","3","2006","역삼로 307","202601~202801","신규","-","","","아파트"
"113","서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","전세","73.0200","202601","31","44,000","0","8","1983","개포로 516","202604~202804","신규","-","","","아파트"
"114","서울특별시 강남구 개포동","172-3","0172","0003","현대","월세","133.6800","202601","31","73,500","70","1","1994","선릉로18길 12","202602~202902","갱신","-","73,500","50","아파트"
"115","서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","전세","51.1200","202601","31","47,250","0","12","1992","개포로109길 21","202602~202802","갱신","사용","45,000","0","아파트"
"116","서울특별시 강남구 삼성동","4-6","0004","0006","삼성동한솔아파트","전세","109.5100","202601","31","95,000","0","2","1998","학동로64길 7","202603~202803","신규","-","","","아파트"
"117","서울특별시 강남구 삼성동","11","0011","0000","롯데캐슬프레미어","전세","84.4650","202601","31","140,000","0","15","2007","선릉로126길 22","202605~202805","신규","-","","","아파트"
"118","서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","월세","84.9800","202601","31","40,000","520","3","2021","삼성로 651","202603~202803","신규","-","","","아파트"
"119","서울특별시 강남구 역삼동","604","0604","0000","리치타워","전세","89.8300","202601","31","50,400","0","4","1996","논현로105길 52","202602~202802","갱신","사용","48,000","0","아파트"
"120","서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","전세","60.1300","202601","31","39,000","0","12","1983","개포로 516","202603~202803","신규","-","","","아파트"
"121","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","월세","49.9200","202601","31","80,000","50","5","2020","개포로 264","202602~202802","갱신","-","60,000","60","아파트"
"122","서울특별시 강남구 청담동","28-13","0028","0013","골든아트빌","전세","153.3300","202601","31","90,000","0","3","2000","삼성로135길 28","202603~202803","신규","-","","","아파트"
"123","서울특별시 강남구 청담동","134-38","0134","0038","청담자이","월세","49.5930","202601","31","80,000","70","25","2011","영동대로138길 12","202602~202802","신규","-","","","아파트"
"124","서울특별시 강남구 청담동","5-25","0005","0025","휴먼스타빌","월세","35.9050","202601","31","0","240","7","2005","도산대로 454","202601~202701","신규","-","","","아파트"
"125","서울특별시 강남구 청담동","23","0023","0000","현대아파트","전세","84.7800","202601","31","73,500","0","13","1988","선릉로 748","202603~202803","갱신","사용","70,000","0","아파트"
"126","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","전세","84.5900","202601","30","136,500","0","22","2020","개포로 264","202602~202802","갱신","사용","130,000","0","아파트"
"127","서울특별시 강남구 삼성동","50","0050","0000","현대힐스테이트2단지","전세","40.5860","202601","30","56,000","0","14","2008","삼성로111길 8","202601~202801","갱신","-","53,000","0","아파트"
"128","서울특별시 강남구 삼성동","50","0050","0000","현대힐스테이트2단지","월세","40.7630","202601","30","66,000","20","17","2008","삼성로111길 8","202603~202803","신규","-","","","아파트"
"129","서울특별시 강남구 삼성동","11","0011","0000","롯데캐슬프레미어","월세","84.4650","202601","30","108,000","48","19","2007","선릉로126길 22","202602~202802","갱신","-","108,000","0","아파트"
"130","서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","월세","71.9500","202601","30","80,000","250","21","2021","삼성로 651","202603~202803","신규","-","","","아파트"
"131","서울특별시 강남구 역삼동","754-1","0754","0001","역삼푸르지오","전세","59.8848","202601","30","102,000","0","19","2006","언주로 332","202602~202802","신규","-","","","아파트"
"132","서울특별시 강남구 청담동","122-35","0122","0035","청담신원아침도시마인","전세","27.7131","202601","30","25,700","0","6","2013","도산대로85길 30","202602~202802","신규","-","","","아파트"
"133","서울특별시 강남구 역삼동","831-29","0831","0029","에레프","월세","14.3100","202601","30","4,000","79","5","2013","역삼로3길 17-4","202601~202701","신규","-","","","아파트"
"134","서울특별시 강남구 청담동","28-20","0028","0020","청담4차이-편한세상","월세","136.4100","202601","30","155,000","100","1","2011","학동로73길 33","202604~202804","신규","-","","","아파트"
"135","서울특별시 강남구 도곡동","933","0933","0000","도곡쌍용예가","월세","107.5300","202601","30","75,000","160","1","1978","남부순환로363길 30","202603~202803","갱신","사용","75,000","98","아파트"
"136","서울특별시 강남구 도곡동","538-3","0538","0003","래미안도곡카운티","월세","71.8500","202601","30","30,000","450","20","2016","도곡로 320","202603~202803","신규","-","","","아파트"
"137","서울특별시 강남구 논현동","225-6","0225","0006","논현아이파크","월세","47.4600","202601","30","30,000","220","14","2020","언주로 615","202603~202803","신규","-","","","아파트"
"138","서울특별시 강남구 논현동","103","0103","0000","쌍용","월세","59.9100","202601","30","50,000","50","8","1996","도산대로50길 43","202603~202803","신규","-","","","아파트"
"139","서울특별시 강남구 도곡동","934-10","0934","0010","도곡우성아파트","월세","84.8300","202601","30","65,000","10","4","1986","남부순환로363길 49","202602~202802","갱신","-","65,000","0","아파트"
"140","서울특별시 강남구 도곡동","91-5","0091","0005","삼성래미안","전세","89.8800","202601","30","138,000","0","13","2001","남부순환로 2803","202601~202801","갱신","-","130,000","0","아파트"
"141","서울특별시 강남구 대치동","1032","1032","0000","대치푸르지오써밋","월세","59.9845","202601","30","105,000","40","3","2023","삼성로72길 12","202601~202801","갱신","사용","100,000","40","아파트"
"142","서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","월세","164.8700","202601","30","10,000","500","41","2004","언주로30길 21","202602~202707","신규","-","","","아파트"
"143","서울특별시 강남구 대치동","316","0316","0000","은마","전세","76.7900","202601","30","60,000","0","13","1979","삼성로 212","202601~202801","갱신","-","49,000","0","아파트"
"144","서울특별시 강남구 대치동","1014-1","1014","0001","삼성2차","전세","162.5100","202601","30","165,000","0","2","1999","삼성로57길 45","202601~202801","갱신","사용","160,000","0","아파트"
"145","서울특별시 강남구 자곡동","687","0687","0000","래미안포레","전세","84.9900","202601","30","79,800","0","9","2014","밤고개로21길 25","202604~202804","갱신","사용","76,000","0","아파트"
"146","서울특별시 강남구 대치동","1017-1","1017","0001","노빌리티빌리지","전세","166.5700","202601","30","132,300","0","5","1999","삼성로51길 10-13","202601~202802","갱신","사용","126,000","0","아파트"
"147","서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","월세","164.7900","202601","30","10,000","500","43","2004","언주로30길 21","202602~202801","갱신","-","10,000","500","아파트"
