"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"20","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202601","07","1,000","110","7","2003","테헤란로64길 8","202601~202801","신규","-","",""
"21","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202601","07","1,000","115","9","2019","영동대로85길 20","202601~202701","신규","-","",""
"22","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","월세","39.0000","202601","07","1,000","120","19","2004","선릉로86길 31","202601~202701","신규","-","",""
"23","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","21.4600","202601","06","24,500","0","10","2019","영동대로85길 20","202602~202802","갱신","-","24,500","0"
"24","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","18.4500","202601","05","14,000","36","5","2020","선릉로90길 66","202602~202802","신규","-","",""
"25","서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌","전세","30.1000","202601","03","19,400","0","7","2004","테헤란로64길 9","202602~202802","신규","-","",""
"26","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202601","03","29,000","0","10","2019","영동대로85길 20","202601~202801","신규","-","",""
"27","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202601","02","3,000","110","7","2019","영동대로85길 20","202601~202701","신규","-","",""
"28","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","20.8000","202512","30","1,000","133","9","2015","남부순환로 2927","202601~202606","신규","-","",""
"29","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202512","29","28,000","0","9","2019","영동대로85길 20","202601~202801","신규","-","",""
"30","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","32.0000","202512","26","2,000","190","8","2019","영동대로85길 20","202512~202704","신규","-","",""
"31","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","30.1100","202512","22","1,000","90","3","2004","테헤란로88길 10","202512~202612","신규","-","",""
"32","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202512","22","28,000","0","14","2019","영동대로85길 20","202601~202801","신규","-","",""
"33","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202512","21","28,000","0","14","2019","영동대로85길 20","202601~202801","신규","-","",""
"34","서울특별시 강남구 대치동","907-12","0907","0012","아티스톤","전세","26.8000","202512","21","43,000","0","12","2022","역삼로 409","202601~202801","신규","-","",""
"35","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","전세","44.4600","202512","20","34,000","0","13","2004","선릉로86길 31","202601~202801","신규","-","",""
"36","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","전세","18.4500","202512","19","21,000","0","8","2020","선릉로90길 68","202512~202712","신규","-","",""
"37","서울특별시 강남구 대치동","908-4","0908","0004","(908-4)","월세","47.9600","202512","19","10,000","210","5","2019","역삼로 408","202601~202801","갱신","사용","10,000","199"
"38","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202512","16","19,800","5","2","2003","테헤란로64길 8","202512~202712","갱신","-","20,000","0"
"39","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","월세","17.6800","202512","16","500","92","4","2020","선릉로90길 68","202512~202612","신규","-","",""
"40","서울특별시 강남구 대치동","908-4","0908","0004","(908-4)","월세","47.9600","202512","15","5,000","250","4","2019","역삼로 408","202601~202801","갱신","-","2,000","230"
"41","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","월세","18.2600","202512","15","1,000","90","6","2020","선릉로90길 68","202512~202612","신규","-","",""
"42","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.2300","202512","13","2,000","125","14","2019","영동대로85길 20","202512~202612","신규","-","",""
"43","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","21.4600","202512","11","3,000","105","7","2019","영동대로85길 20","202512~202612","신규","-","",""
"44","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","32.0000","202512","10","1,000","190","4","2019","영동대로85길 20","202601~202701","신규","-","",""
"45","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","30.1100","202512","10","1,000","88","22","2004","테헤란로88길 10","202512~202612","신규","-","",""
"46","서울특별시 강남구 대치동","891-26","0891","0026","대치동대우아이빌멤버스","월세","47.1100","202512","10","35,000","20","3","2003","삼성로85길 42","202601~202801","신규","-","",""
"47","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","21.4600","202512","06","3,900","80","6","2019","영동대로85길 20","202512~202612","신규","-","",""
"48","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","45.5000","202512","05","57,300","0","14","2018","영동대로85길 34","202512~202712","갱신","-","54,600","0"
"49","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.2400","202512","04","1,000","108","10","2019","영동대로85길 20","202512~202612","신규","-","",""
"50","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202512","02","28,000","0","8","2019","영동대로85길 20","202601~202801","갱신","사용","27,000","0"
"51","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202512","01","1,000","130","8","2019","영동대로85길 20","202512~202611","신규","-","",""
"52","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202512","01","30,000","0","7","2019","영동대로85길 20","202512~202712","신규","-","",""
"53","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","33.0600","202511","28","1,000","30","5","2004","선릉로90길 56","202512~202712","신규","-","",""
"54","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","34.2000","202511","27","20,400","10","2","2004","선릉로90길 56","202601~202801","신규","-","",""
"55","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","18.2600","202511","26","5,000","73","6","2020","선릉로90길 66","202512~202612","신규","-","",""
"56","서울특별시 강남구 대치동","938","0938","0000","삼환 아르누보2","월세","26.4200","202511","25","1,000","130","6","2004","도곡로 405","202512~202612","갱신","-","1,000","120"
"57","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","21.5000","202511","22","1,000","110","10","2018","영동대로85길 34","202511~202611","신규","-","",""
"58","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","20.8000","202511","20","1,000","136","6","2015","남부순환로 2927","202512~202612","신규","-","",""
"59","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.2300","202511","20","1,000","123","5","2019","영동대로85길 20","202512~202612","신규","-","",""
"60","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","30.2600","202511","20","1,000","190","11","2015","남부순환로 2927","202511~202611","갱신","-","1,000","190"
"61","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202511","19","1,000","90","12","2003","테헤란로64길 8","202511~202711","신규","-","",""
"62","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202511","18","1,000","115","14","2019","영동대로85길 20","202512~202612","갱신","-","1,000","110"
"63","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","17.6800","202511","18","2,500","70","2","2020","선릉로90길 66","202512~202612","신규","-","",""
"64","서울특별시 강남구 대치동","907-12","0907","0012","아티스톤","월세","28.6000","202511","17","20,000","120","8","2022","역삼로 409","202601~202801","신규","-","",""
"65","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202511","17","17,000","38","15","2003","테헤란로64길 8","202511~202711","신규","-","",""
"66","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202511","17","10,000","83","14","2019","영동대로85길 20","202511~202711","신규","-","",""
"67","서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌","월세","33.0200","202511","14","1,000","103","6","2004","테헤란로64길 9","202512~202612","신규","-","",""
"68","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.2800","202511","14","29,000","0","5","2019","영동대로85길 20","202512~202712","갱신","-","27,500","0"
"69","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","전세","30.1100","202511","13","23,000","0","5","2004","테헤란로88길 10","202511~202711","신규","-","",""
"70","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","33.0600","202511","10","14,000","55","6","2004","선릉로90길 56","202601~202801","신규","-","",""
"71","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","24.4500","202511","08","1,000","125","11","2018","영동대로85길 34","202511~202611","신규","-","",""
"72","서울특별시 강남구 대치동","945-29","0945","0029","CO-OP Residence/삼성역","월세","13.9600","202511","08","300","70","8","2004","테헤란로92길 13","202512~202612","신규","-","",""
"73","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","전세","32.0000","202511","08","19,250","0","12","2003","테헤란로64길 8","-","-","-","",""
"74","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","월세","32.7000","202511","08","1,000","90","4","2004","테헤란로64길 14","202511~202611","신규","-","",""
"75","서울특별시 강남구 대치동","891-26","0891","0026","대치동대우아이빌멤버스","월세","29.5600","202511","07","5,000","63","2","2003","삼성로85길 42","202511~202711","신규","-","",""
"76","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202511","07","27,000","0","3","2018","영동대로85길 34","202512~202711","신규","-","",""
"77","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","월세","34.3200","202511","07","1,000","95","10","2004","선릉로86길 31","202511~202611","신규","-","",""
"78","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","17.6800","202511","06","13,000","32","7","2020","선릉로90길 66","202512~202612","신규","-","",""
"79","서울특별시 강남구 대치동","908-4","0908","0004","(908-4)","월세","47.9600","202510","30","5,000","210","2","2019","역삼로 408","202511~202711","신규","-","",""
"80","서울특별시 강남구 대치동","938","0938","0000","삼환 아르누보2","월세","27.8300","202510","29","1,000","120","6","2004","도곡로 405","202512~202612","갱신","-","1,000","110"
"81","서울특별시 강남구 대치동","942-3","0942","0003","바실리체","전세","46.7700","202510","28","59,000","0","9","2022","삼성로 436","202510~202712","신규","-","",""
"82","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","18.4500","202510","24","15,000","35","6","2020","선릉로90길 66","202511~202711","신규","-","",""
"83","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","21.4600","202510","22","1,000","110","9","2019","영동대로85길 20","202510~202610","신규","-","",""
"84","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","34.2000","202510","22","1,000","100","6","2004","선릉로90길 56","202511~202610","신규","-","",""
"85","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","월세","17.6800","202510","20","18,000","6","2","2020","선릉로90길 68","202512~202611","신규","-","",""
"86","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202510","20","27,000","0","3","2018","영동대로85길 34","202512~202712","갱신","사용","26,000","0"
"87","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","전세","17.6800","202510","20","20,000","0","4","2020","선릉로90길 66","202510~202610","신규","-","",""
"88","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","34.2000","202510","17","1,000","90","6","2004","선릉로90길 56","202512~202612","신규","-","",""
"89","서울특별시 강남구 대치동","945-29","0945","0029","CO-OP Residence/삼성역","월세","13.9600","202510","16","500","63","9","2004","테헤란로92길 13","202510~202601","신규","-","",""
"90","서울특별시 강남구 대치동","908-4","0908","0004","(908-4)","전세","47.9600","202510","15","55,000","0","4","2019","역삼로 408","202511~202711","신규","-","",""
"91","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","21.5000","202510","14","1,000","99","6","2018","영동대로85길 34","202510~202610","신규","-","",""
"92","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202510","11","27,825","0","6","2019","영동대로85길 20","202512~202612","갱신","-","27,825","0"
"93","서울특별시 강남구 대치동","907-12","0907","0012","아티스톤","전세","23.3400","202510","01","39,500","0","7","2022","역삼로 409","202511~202711","갱신","-","39,000","0"
"94","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.2400","202509","28","25,500","0","6","2019","영동대로85길 20","202510~202710","신규","-","",""
"95","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","30.2600","202509","24","2,000","192","8","2015","남부순환로 2927","202510~202601","신규","-","",""
"96","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","전세","32.0000","202509","23","19,800","0","8","2003","테헤란로64길 8","202510~202710","갱신","-","17,850","0"
"97","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202509","23","26,000","0","12","2018","영동대로85길 34","202509~202709","신규","-","",""
"98","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","22.1800","202509","22","1,000","118","7","2018","영동대로85길 34","202510~202610","신규","-","",""
"99","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","월세","39.0000","202509","22","1,000","110","18","2004","선릉로86길 31","202509~202609","신규","-","",""
"100","서울특별시 강남구 대치동","945-29","0945","0029","CO-OP Residence/삼성역","전세","13.9600","202509","18","11,500","0","9","2004","테헤란로92길 13","202509~202709","신규","-","",""
"101","서울특별시 강남구 대치동","945-29","0945","0029","CO-OP Residence/삼성역","전세","13.9600","202509","18","12,600","0","2","2004","테헤란로92길 13","202511~202803","갱신","-","12,600","0"
"102","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202509","18","19,800","10","11","2003","테헤란로64길 8","202511~202611","신규","-","",""
"103","서울특별시 강남구 대치동","945-29","0945","0029","CO-OP Residence/삼성역","월세","13.9600","202509","13","300","66","10","2004","테헤란로92길 13","202509~202609","신규","-","",""
"104","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202509","10","26,900","0","5","2018","영동대로85길 34","202510~202710","갱신","사용","25,700","0"
"105","서울특별시 강남구 대치동","907-12","0907","0012","아티스톤","월세","28.2200","202509","07","15,000","140","12","2022","역삼로 409","202509~202709","갱신","-","25,000","100"
"106","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202509","06","27,800","0","8","2018","영동대로85길 34","202510~202709","신규","-","",""
"107","서울특별시 강남구 대치동","938-11","0938","0011","동민 맥스빌","전세","40.2900","202509","05","24,000","0","1","2004","선릉로62길 38","202510~202610","갱신","사용","23,000","0"
"108","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","전세","18.2600","202509","05","23,500","0","8","2020","선릉로90길 66","202509~202609","신규","-","",""
"109","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202509","04","19,500","4","4","2003","테헤란로64길 8","202510~202710","갱신","-","19,500","0"
"110","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202509","03","30,000","0","10","2018","영동대로85길 34","202510~202710","신규","-","",""
"111","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","26.1900","202509","02","1,000","75","22","2004","테헤란로88길 10","202509~202609","갱신","-","1,000","75"
"112","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","30.2600","202509","01","3,000","166","12","2015","남부순환로 2927","202509~202604","신규","-","",""
"113","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","47.2000","202508","29","10,000","200","8","2018","영동대로85길 34","202509~202709","신규","-","",""
"114","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202508","29","1,000","115","6","2019","영동대로85길 20","202510~202610","신규","-","",""
"115","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","전세","29.9700","202508","28","17,500","0","14","2004","테헤란로64길 14","202511~202711","갱신","-","17,500","0"
"116","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","30.1100","202508","27","1,000","90","15","2004","테헤란로88길 10","202509~202609","신규","-","",""
"117","서울특별시 강남구 대치동","908-4","0908","0004","(908-4)","월세","47.9600","202508","27","5,000","260","3","2019","역삼로 408","202509~202609","신규","-","",""
"118","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","전세","44.4600","202508","20","35,000","0","11","2004","선릉로86길 31","202509~202709","신규","-","",""
"119","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","전세","30.1100","202508","20","22,000","0","3","2004","테헤란로88길 10","202509~202709","갱신","-","21,000","0"
"120","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202508","14","30,000","0","10","2018","영동대로85길 34","202509~202709","신규","-","",""
"121","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202508","13","1,000","120","4","2019","영동대로85길 20","202510~202610","갱신","-","1,000","120"
"122","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202508","13","26,700","0","5","2018","영동대로85길 34","202508~202709","갱신","-","25,500","0"
"123","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","32.0000","202508","11","3,000","185","6","2019","영동대로85길 20","202508~202608","신규","-","",""
"124","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","27.4500","202508","08","11,000","33","18","2004","테헤란로88길 10","202508~202708","신규","-","",""
"125","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","26.1900","202508","07","500","83","6","2004","테헤란로88길 10","202508~202608","신규","-","",""
"126","서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌","전세","30.1000","202508","07","20,000","0","2","2004","테헤란로64길 9","202508~202708","신규","-","",""
"127","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","18.2600","202508","06","1,000","90","3","2020","선릉로90길 66","202508~202608","신규","-","",""
"128","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","월세","29.9700","202508","06","17,000","30","3","2004","테헤란로64길 14","202508~202708","신규","-","",""
"129","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","전세","18.4500","202508","01","23,000","0","7","2020","선릉로90길 68","202509~202708","신규","-","",""
"130","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","47.2000","202507","29","3,000","230","11","2018","영동대로85길 34","202508~202608","신규","-","",""
"131","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","34.2000","202507","29","22,000","20","6","2004","선릉로90길 56","202508~202708","신규","-","",""
"132","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","전세","35.7200","202507","28","25,000","0","4","2004","선릉로90길 56","202508~202708","갱신","-","22,000","0"
"133","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","32.0000","202507","23","10,000","130","14","2019","영동대로85길 20","202508~202608","갱신","사용","10,000","130"
"134","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","전세","18.4500","202507","22","21,700","0","2","2020","선릉로90길 66","202508~202708","신규","-","",""
"135","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","전세","17.6800","202507","21","21,000","0","11","2020","선릉로90길 66","202507~202707","신규","-","",""
"136","서울특별시 강남구 대치동","891-6","0891","0006","테헤란로 대우 아이빌","전세","31.1700","202507","19","21,000","0","2","2004","테헤란로 428","202509~202709","신규","-","",""
"137","서울특별시 강남구 대치동","908-4","0908","0004","(908-4)","전세","47.9600","202507","18","58,000","0","2","2019","역삼로 408","202508~202708","신규","-","",""
"138","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","21.4600","202507","16","1,000","115","13","2019","영동대로85길 20","202508~202608","신규","-","",""
"139","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","18.4500","202507","12","5,000","70","11","2020","선릉로90길 66","202508~202708","신규","-","",""
"140","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","월세","18.4500","202507","12","10,000","53","7","2020","선릉로90길 68","202508~202707","신규","-","",""
"141","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","34.2000","202507","11","10,000","50","3","2004","선릉로90길 56","202507~202707","갱신","-","10,000","50"
"142","서울특별시 강남구 대치동","903-29","0903","0029","아티드 A타워","월세","55.9400","202507","10","10,000","600","6","2024","삼성로 403","202508~202707","신규","-","",""
"143","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","30.1100","202507","09","1,000","86","13","2004","테헤란로88길 10","202508~202608","신규","-","",""
"144","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","33.0600","202507","08","1,000","100","2","2004","선릉로90길 56","202507~202607","신규","-","",""
"145","서울특별시 강남구 대치동","891-26","0891","0026","대치동대우아이빌멤버스","전세","35.4300","202507","07","24,000","0","2","2003","삼성로85길 42","202508~202708","신규","-","",""
"146","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","20.8000","202507","05","1,000","136","6","2015","남부순환로 2927","202507~202512","신규","-","",""
